id_siniestro,id_poliza,fecha_siniestro,monto_siniestro,estado
1,17400,2025-10-16,2092.59,ABIERTO
2,2465,2025-08-01,7076.25,ABIERTO
3,15785,2025-09-19,702.27,CERRADO
4,14299,2025-09-27,274.63,ABIERTO
5,12908,2025-12-01,9377.69,RECHAZADO
7,3379,2025-08-16,10513.3,ABIERTO
8,23824,2025-01-17,2736.2,ABIERTO
10,19947,2025-09-12,8801.03,CERRADO
11,6448,2025-05-31,1619.38,ABIERTO
13,3716,2025-07-13,-4274.39,RECHAZADO
15,19142,2025-01-29,14533.77,ABIERTO
17,2112,2025-08-01,11995.56,CERRADO
19,5547,2025-10-10,5714.06,CERRADO
21,8637,2025-06-06,4335.01,ABIERTO
22,6924,2025-11-16,10436.86,CERRADO
23,5261,2025-10-15,6636.22,ABIERTO
24,17180,2025-06-13,6183.83,CERRADO
26,7930,2025-12-10,1326.94,ABIERTO
29,18397,2025-12-19,1485.06,ABIERTO
33,2231,2025-09-21,2443.9,RECHAZADO
35,15273,2025-01-03,13959.68,CERRADO
36,16929,2025-01-06,3649.94,CERRADO
37,504,2025-09-15,1143.51,RECHAZADO
38,1202,2025-10-21,2154.09,CERRADO
40,8220,2025-04-30,1081.73,CERRADO
43,11680,2025-05-13,10535.93,CERRADO
44,17906,2025-06-22,8580.31,ABIERTO
45,15100,2025-01-27,8761.24,ABIERTO
47,6904,2025-04-08,7795.35,ABIERTO
48,503,2025-08-29,3740.29,RECHAZADO
52,22187,2025-08-19,4886.0,CERRADO
53,11106,2025-06-23,2182.44,CERRADO
54,14544,2025-07-27,2132.56,CERRADO
57,11757,2025-04-09,3215.08,CERRADO
59,4806,2025-01-16,2856.71,CERRADO
60,15711,2025-08-31,2916.65,CERRADO
62,14407,2025-04-05,8013.21,CERRADO
64,10093,2025-11-30,11004.28,CERRADO
65,19562,2025-05-29,14057.33,CERRADO
66,14064,2025-03-25,9842.05,ABIERTO
67,5049,2025-05-26,13723.01,RECHAZADO
70,18587,2025-12-18,5912.93,CERRADO
73,14099,2025-05-09,11459.27,ABIERTO
74,3314,2025-10-23,14502.38,CERRADO
75,9867,2025-08-16,1888.27,ABIERTO
77,8700,2025-09-05,9948.91,ABIERTO
78,4535,2026-02-12,8534.49,CERRADO
79,7460,2025-08-21,11711.43,CERRADO
84,2227,2025-09-26,10158.82,ABIERTO
87,23591,2025-03-09,1777.81,ABIERTO
88,14027,2025-03-18,10253.14,ABIERTO
89,12761,2025-04-22,14870.71,ABIERTO
90,21277,2025-05-21,6602.43,RECHAZADO
91,80,2025-12-09,12229.82,ABIERTO
93,1928,2025-01-31,12706.47,ABIERTO
96,17713,2026-02-21,7797.66,ABIERTO
99,18399,2025-06-27,2077.75,CERRADO
101,24142,2025-06-21,1602.59,ABIERTO
102,8858,2025-01-16,5155.2,CERRADO
105,19541,2025-09-28,4267.91,CERRADO
106,2501,2025-11-29,511.1,ABIERTO
109,9413,2025-07-21,4356.6,CERRADO
110,16745,2025-03-27,8484.21,ABIERTO
111,2641,2025-04-12,11886.43,CERRADO
112,6548,2025-10-27,13134.7,CERRADO
113,8649,2026-01-22,10126.28,ABIERTO
114,5370,2025-03-10,7762.7,CERRADO
115,24834,2025-10-08,12189.58,ABIERTO
120,21805,2025-12-07,12403.48,ABIERTO
121,3645,2025-04-10,13084.42,RECHAZADO
123,8567,2025-09-22,5749.7,RECHAZADO
125,17509,2025-11-09,1154.08,CERRADO
126,13007,2025-10-17,13629.62,RECHAZADO
127,424,2025-07-29,1595.62,CERRADO
129,8836,2025-03-02,1652.79,ABIERTO
135,24992,2025-08-02,302.32,ABIERTO
136,9670,2025-05-31,6040.15,CERRADO
137,23959,2025-05-26,13295.74,CERRADO
138,22384,2025-11-10,9051.84,ABIERTO
139,21305,2025-12-12,12134.64,RECHAZADO
140,21427,2025-10-11,12522.96,ABIERTO
141,25512,2025-12-26,8366.08,ABIERTO
144,7956,2025-01-01,8822.7,ABIERTO
145,5744,2025-07-24,3902.65,ABIERTO
146,5630,2025-02-16,6370.38,CERRADO
147,3192,2026-02-21,9549.21,CERRADO
149,9146,2025-11-14,2981.78,ABIERTO
150,14981,2025-01-31,13415.37,RECHAZADO
151,2464,2025-02-14,3627.56,CERRADO
152,22723,2025-09-09,9937.98,ABIERTO
156,16853,2025-03-09,1390.48,ABIERTO
157,22187,2025-04-03,4984.64,CERRADO
158,8637,2025-02-08,12772.25,RECHAZADO
159,2123,2025-11-12,6450.16,CERRADO
160,13528,2025-03-16,3582.61,ABIERTO
162,17558,2025-12-16,2904.94,ABIERTO
164,3953,2025-06-27,14622.5,CERRADO
165,3478,2025-03-20,5989.33,CERRADO
167,19661,2025-10-29,5398.38,CERRADO
168,6501,2025-10-20,3552.32,CERRADO
169,23178,2025-12-04,4944.75,CERRADO
171,6401,2025-11-02,13258.53,RECHAZADO
172,10449,2025-03-29,3349.56,ABIERTO
173,11295,2025-04-24,12085.03,RECHAZADO
174,25761,2025-10-12,9433.77,RECHAZADO
176,14992,2025-10-03,7840.46,ABIERTO
178,22497,2025-09-24,12188.69,CERRADO
181,3779,2025-05-19,2915.04,ABIERTO
182,6051,2025-07-15,4083.6,ABIERTO
184,13385,2025-07-08,5142.95,RECHAZADO
185,23960,2025-03-25,2485.0,CERRADO
187,17116,2026-01-25,8263.06,RECHAZADO
191,23374,2025-06-13,14690.5,CERRADO
192,24819,2025-12-07,764.29,ABIERTO
194,13685,2026-02-08,8942.15,ABIERTO
195,3021,2026-02-22,1043.99,RECHAZADO
196,4434,2025-03-11,1158.74,CERRADO
198,3833,2025-08-18,9016.27,RECHAZADO
200,8648,2025-03-24,6486.31,CERRADO
203,21133,2025-07-10,4564.31,RECHAZADO
205,15065,2026-02-09,14726.41,CERRADO
206,5583,2025-03-04,11554.34,CERRADO
207,10666,2025-03-09,10303.63,ABIERTO
208,5006,2025-05-24,4504.93,CERRADO
210,14034,2025-08-20,12036.08,CERRADO
211,18427,2025-12-18,6967.73,CERRADO
213,1279,2025-02-07,13118.01,RECHAZADO
214,16890,2026-01-25,2780.04,ABIERTO
215,13337,2025-08-02,14527.75,ABIERTO
217,14431,2025-09-27,2510.93,ABIERTO
218,5896,2025-10-27,10531.67,CERRADO
220,2535,2025-12-19,5001.06,ABIERTO
221,2986,2025-02-12,9139.78,CERRADO
222,13632,2025-06-05,14814.18,CERRADO
224,19260,2026-02-14,5466.39,ABIERTO
226,12950,2025-05-08,2683.64,CERRADO
227,2933,2025-10-17,5919.45,CERRADO
