id_poliza,fecha_emision,id_cliente,id_corredor,id_aseguradora,id_tipo_seguro,prima,comision,monto_asegurado
1,,184,42,15,2,829.53,,139253.11
2,2026-02-16,2408,35,11,12,,12.22,27544.32
5,2026-02-13,945,23,9,11,,324.08,123407.75
6,2025-02-05,1295,17,1,1,943.49,,71968.43
8,2026-01-11,887,77,3,8,1670.56,258.75,
9,2025-02-28,1670,66,8,12,,131.85,125804.84
11,2025-03-21,2590,25,8,4,,,
12,2025-10-19,1521,14,11,5,726.02,,86216.65
15,2025-12-27,1954,62,13,4,85.94,,7574.33
16,2025-01-07,424,19,5,11,,39.07,
17,2025-09-10,856,73,14,8,832.85,,94675.98
18,2025-01-15,123,75,2,5,,39.57,36567.17
20,2025-03-26,522,32,1,3,487.69,117.43,
21,2026-01-13,179,34,2,9,1709.14,1963.14,
22,2025-07-09,2160,71,5,5,,172.42,124757.66
24,2025-04-26,302,15,15,9,,8.98,15865.44
25,2025-02-13,101,34,8,2,,286.75,269942.16
29,,1101,7,8,12,,54.06,
31,2025-08-07,1847,45,4,2,,229.13,117309.88
32,2025-07-28,388,22,6,4,822.52,,
34,2025-12-01,1969,41,10,5,,256.53,202107.44
35,2025-01-19,1139,79,1,3,1847.73,191.44,
38,2025-04-21,2327,39,13,7,,113.68,156124.02
39,2025-11-15,629,62,11,7,,206.36,75584.63
40,2025-09-08,25,47,6,9,1300.11,189.22,
42,,2455,31,5,11,308.02,58.25,60616.48
44,,1701,10,14,10,946.36,153.66,153121.65
47,,2482,18,3,2,1555.6,242.77,69252.65
48,2025-07-16,259,29,14,1,,46.88,55688.51
56,2025-09-03,2767,28,7,8,73.11,,7064.28
57,2025-04-16,852,4,13,1,,,213051.32
58,2025-03-29,454,6,15,8,,213.26,78055.76
59,2025-01-02,1934,18,1,2,1253.51,,149260.92
60,2026-01-26,3686,51,6,2,,,28102.81
64,2025-07-20,1081,75,8,1,109.72,17.48,
65,,697,67,1,10,302.71,462.2,25597.06
67,2025-11-22,1246,31,6,5,,359.79,258570.08
69,2025-05-22,2178,76,1,4,,20.56,7505.94
70,2025-09-03,730,78,15,4,,146.22,147931.73
73,2025-03-01,841,26,7,12,,,33023.9
75,2025-11-21,1345,51,15,1,,,
76,2025-09-20,2671,14,9,5,1563.09,381.13,
79,2025-06-24,2375,66,4,10,1055.66,,142122.95
81,2025-11-30,2745,13,13,11,1688.38,,151662.62
83,2025-04-25,357,18,15,11,1612.27,182.21,
87,2025-03-18,2217,98,11,12,1283.02,,94028.85
89,2025-10-23,2963,77,1,5,1372.83,,34680.04
90,,753,20,1,10,916.04,219.65,129872.69
92,,2659,25,11,4,,325.08,191582.82
94,2026-02-04,222,41,5,10,1141.34,169.15,
96,2025-10-18,1708,3,11,7,1777.93,,176358.08
98,,2106,65,10,8,1909.32,153.95,143459.97
100,2025-12-20,2627,52,7,5,1998.94,487.51,
101,2025-07-04,976,48,11,11,,125.52,93713.3
102,,5,66,13,12,1386.05,204.0,251864.93
105,2025-12-27,2797,80,3,1,209.72,52.0,
107,2025-07-27,1165,15,6,12,,50.04,87472.59
109,2025-03-11,2693,6,13,6,,184.48,96331.45
110,2026-01-12,185,46,8,5,,31.43,74435.27
111,2025-02-16,2833,8,15,12,,222.8,185637.48
113,2025-12-03,1715,34,3,6,,,
114,,1155,61,11,5,1237.26,,124263.17
115,2026-02-11,739,11,5,7,203.12,17.6,
117,2025-03-01,2501,18,12,10,,2636.59,188099.37
119,2025-04-07,1678,71,13,7,,,58628.84
120,2025-04-29,419,49,1,3,1427.78,,265973.38
121,2025-05-26,1222,59,14,6,,,141963.43
122,2025-08-02,318,41,12,5,726.1,161.45,
123,2025-09-25,721,44,3,2,1879.38,437.85,
124,2025-11-07,2155,40,3,9,1027.93,83.53,
126,2025-10-07,1595,18,7,9,,291.84,
128,2025-06-08,711,25,11,3,,379.89,175091.88
131,2025-01-08,1953,72,9,2,751.39,,101267.63
132,2025-05-23,2110,34,12,11,890.91,177.49,
134,2025-09-07,1690,4,11,9,1209.55,,42728.3
136,,1873,36,14,4,685.85,97.17,
137,,2544,48,8,12,1837.21,337.23,134569.61
138,2025-11-29,984,50,3,10,,95.54,58320.88
139,2025-03-09,2715,47,3,1,1887.69,,300624.49
142,,821,56,4,5,1305.77,272.72,31298.47
145,2025-04-20,2461,80,7,12,393.01,55.94,
146,2025-12-23,2899,27,9,2,,,143545.57
147,2025-10-24,1556,53,5,6,357.68,26.25,
152,2025-04-07,2349,79,7,4,0.0,,17302.97
153,2026-01-28,1016,28,12,8,165.57,24.61,
154,2025-04-12,1023,24,4,5,,,73105.67
155,2025-05-05,1918,43,10,12,,9.96,3222.28
156,2025-06-11,462,28,10,2,1793.62,,288252.92
157,2025-10-08,2910,63,4,7,1762.17,,96305.3
158,2025-04-08,1121,67,7,12,985.24,189.5,
161,,1392,35,7,6,1824.05,155.21,167233.6
165,2026-02-04,2934,78,10,2,842.46,196.92,
168,2025-06-25,691,65,1,1,268.88,65.44,
169,,1166,41,10,3,,93.67,84578.57
171,2025-05-19,2320,39,9,5,225.23,,16197.54
173,2025-12-31,1935,13,14,2,,116.08,128228.92
174,2026-01-05,9,63,12,10,,70.76,11842.93
175,,2362,59,6,5,386.3,78.61,68440.5
177,2025-03-22,355,72,14,1,1123.67,,56048.07
179,2025-01-05,2432,3,8,1,,240.54,260639.14
180,2025-09-13,2894,5,10,9,507.43,,64390.94
181,2025-01-31,1945,37,11,5,,210.72,
182,,1953,74,6,1,1725.25,,94698.24
184,2025-04-27,1373,12,7,9,,128.95,49518.48
187,2025-01-04,2226,75,5,3,1327.21,,240624.13
188,2025-10-01,1151,47,7,11,,102.66,130925.71
190,2025-12-07,2854,70,13,4,953.96,,93787.36
193,2025-07-22,1786,56,15,12,1316.23,,
195,2025-10-17,1641,31,15,11,911.44,,129241.82
197,2025-04-15,1558,49,4,11,1498.66,,228469.92
201,2025-06-29,2011,32,12,5,,209.81,147542.55
202,2025-09-14,2346,4,11,6,,,159867.32
203,2025-08-16,1121,32,14,5,741.78,127.03,
208,2025-06-10,3614,78,4,4,472.52,36.01,
