id_siniestro,id_poliza,fecha_siniestro,monto_siniestro,estado,motivo
6,5107,2026-02-10,10535.74,,El estado del siniestro se encuentra vacio
9,18118,2025-08-27,,CERRADO,No cuenta con un monto de siniestro
12,4096,2026-02-23,,RECHAZADO,No cuenta con un monto de siniestro
14,8260,2025-09-08,,,"El estado del siniestro se encuentra vacio, No cuenta con un monto de siniestro"
16,16312,2025-10-02,,ABIERTO,No cuenta con un monto de siniestro
18,4445,2025-05-23,,,"El estado del siniestro se encuentra vacio, No cuenta con un monto de siniestro"
20,21508,2025-08-29,8867.02,,El estado del siniestro se encuentra vacio
25,719,2025-12-25,3257.92,,El estado del siniestro se encuentra vacio
27,22625,2025-03-07,141.77,,El estado del siniestro se encuentra vacio
28,3123,2025-08-10,,CERRADO,No cuenta con un monto de siniestro
30,20396,2025-09-30,,,"El estado del siniestro se encuentra vacio, No cuenta con un monto de siniestro"
31,14500,2026-01-17,,CERRADO,No cuenta con un monto de siniestro
32,20349,2025-06-13,-6166.3,,El estado del siniestro se encuentra vacio
34,14393,2025-03-30,,CERRADO,No cuenta con un monto de siniestro
39,551,2025-03-26,,ABIERTO,No cuenta con un monto de siniestro
41,4657,2025-12-25,9268.6,,El estado del siniestro se encuentra vacio
42,3586,2026-01-31,11247.07,,El estado del siniestro se encuentra vacio
46,2860,2025-07-13,,RECHAZADO,No cuenta con un monto de siniestro
49,12852,2025-01-11,4828.13,,El estado del siniestro se encuentra vacio
50,25778,2025-10-18,11437.5,,El estado del siniestro se encuentra vacio
51,1344,2025-08-15,14278.06,,El estado del siniestro se encuentra vacio
55,19232,2025-03-25,5517.33,,El estado del siniestro se encuentra vacio
56,14610,2025-11-27,,ABIERTO,No cuenta con un monto de siniestro
58,9803,2025-03-23,,,"El estado del siniestro se encuentra vacio, No cuenta con un monto de siniestro"
61,16070,2025-12-06,,,"El estado del siniestro se encuentra vacio, No cuenta con un monto de siniestro"
63,22281,2025-07-07,,,"El estado del siniestro se encuentra vacio, No cuenta con un monto de siniestro"
68,4916,2025-11-20,5792.24,,El estado del siniestro se encuentra vacio
69,14892,2025-09-21,14508.66,,El estado del siniestro se encuentra vacio
71,19836,2025-01-14,5377.67,,El estado del siniestro se encuentra vacio
72,23320,2026-02-20,7245.79,,El estado del siniestro se encuentra vacio
76,18282,2025-08-02,,,"El estado del siniestro se encuentra vacio, No cuenta con un monto de siniestro"
80,23359,2025-02-24,,,"El estado del siniestro se encuentra vacio, No cuenta con un monto de siniestro"
81,10359,2025-10-20,,CERRADO,No cuenta con un monto de siniestro
82,4048,2026-02-21,9909.58,,El estado del siniestro se encuentra vacio
83,16988,2025-07-07,14090.71,,El estado del siniestro se encuentra vacio
85,7153,2026-01-23,5079.34,,El estado del siniestro se encuentra vacio
86,25554,2025-03-13,,,"El estado del siniestro se encuentra vacio, No cuenta con un monto de siniestro"
92,13736,2025-03-28,,,"El estado del siniestro se encuentra vacio, No cuenta con un monto de siniestro"
94,15160,2025-01-14,3322.55,,El estado del siniestro se encuentra vacio
95,17219,2025-04-01,4580.14,,El estado del siniestro se encuentra vacio
97,13086,2025-01-01,,RECHAZADO,No cuenta con un monto de siniestro
98,19925,2025-01-25,1228.19,,El estado del siniestro se encuentra vacio
100,24052,2025-03-16,2342.67,,El estado del siniestro se encuentra vacio
103,19170,2026-02-01,10183.94,,El estado del siniestro se encuentra vacio
104,1153,2025-02-05,2580.4,,El estado del siniestro se encuentra vacio
107,17613,2025-06-20,11560.34,,El estado del siniestro se encuentra vacio
108,1500,2025-01-01,,ABIERTO,No cuenta con un monto de siniestro
116,8222,2025-04-05,,ABIERTO,No cuenta con un monto de siniestro
117,12941,2025-12-12,,ABIERTO,No cuenta con un monto de siniestro
118,21719,2025-02-28,,ABIERTO,No cuenta con un monto de siniestro
119,1874,2025-07-26,5171.14,,El estado del siniestro se encuentra vacio
122,16832,2025-03-09,7489.48,,El estado del siniestro se encuentra vacio
124,4535,2025-12-15,9389.56,,El estado del siniestro se encuentra vacio
128,24167,2025-09-15,,,"El estado del siniestro se encuentra vacio, No cuenta con un monto de siniestro"
130,14357,2025-08-30,,RECHAZADO,No cuenta con un monto de siniestro
131,21837,2025-09-05,13932.1,,El estado del siniestro se encuentra vacio
132,1290,2025-03-01,9918.51,,El estado del siniestro se encuentra vacio
133,5720,2025-02-28,,ABIERTO,No cuenta con un monto de siniestro
134,7223,2025-04-22,,ABIERTO,No cuenta con un monto de siniestro
142,14587,2026-02-17,,ABIERTO,No cuenta con un monto de siniestro
143,2790,2025-10-13,,RECHAZADO,No cuenta con un monto de siniestro
148,9556,2025-06-19,,CERRADO,No cuenta con un monto de siniestro
153,7402,2025-03-26,,ABIERTO,No cuenta con un monto de siniestro
154,11333,2026-01-07,,,"El estado del siniestro se encuentra vacio, No cuenta con un monto de siniestro"
155,17654,2025-03-22,13419.79,,El estado del siniestro se encuentra vacio
161,12821,2025-01-29,1663.96,,El estado del siniestro se encuentra vacio
163,3344,2026-02-01,,CERRADO,No cuenta con un monto de siniestro
166,3400,2025-10-30,11123.38,,El estado del siniestro se encuentra vacio
170,14794,2025-12-30,,ABIERTO,No cuenta con un monto de siniestro
175,6907,2025-12-06,12028.02,,El estado del siniestro se encuentra vacio
177,15938,2025-11-25,13797.55,,El estado del siniestro se encuentra vacio
179,12699,2026-01-22,1452.35,,El estado del siniestro se encuentra vacio
180,13273,2025-01-15,14255.51,,El estado del siniestro se encuentra vacio
183,15820,2025-06-27,,RECHAZADO,No cuenta con un monto de siniestro
186,14257,2026-01-14,,ABIERTO,No cuenta con un monto de siniestro
188,9285,2025-04-07,3554.71,,El estado del siniestro se encuentra vacio
189,11691,2026-01-17,,ABIERTO,No cuenta con un monto de siniestro
190,15565,2025-06-23,,ABIERTO,No cuenta con un monto de siniestro
193,19056,2025-12-02,,ABIERTO,No cuenta con un monto de siniestro
197,5812,2025-07-08,12806.56,,El estado del siniestro se encuentra vacio
199,15158,2025-09-12,,ABIERTO,No cuenta con un monto de siniestro
201,10253,2026-01-01,,,"El estado del siniestro se encuentra vacio, No cuenta con un monto de siniestro"
202,6793,2025-08-30,,CERRADO,No cuenta con un monto de siniestro
204,11440,2025-01-28,,RECHAZADO,No cuenta con un monto de siniestro
209,16837,2025-08-20,11810.11,,El estado del siniestro se encuentra vacio
212,14352,2025-05-18,8847.32,,El estado del siniestro se encuentra vacio
216,8726,2025-07-23,4346.45,,El estado del siniestro se encuentra vacio
219,25727,2026-04-02,,CERRADO,No cuenta con un monto de siniestro
223,2629,2025-10-08,3642.77,,El estado del siniestro se encuentra vacio
225,19366,2025-05-20,851.04,,El estado del siniestro se encuentra vacio
228,9398,2025-09-26,,ABIERTO,No cuenta con un monto de siniestro
234,16501,2025-10-04,,,"El estado del siniestro se encuentra vacio, No cuenta con un monto de siniestro"
236,22678,2025-11-11,,ABIERTO,No cuenta con un monto de siniestro
237,24184,2025-07-13,13713.94,,El estado del siniestro se encuentra vacio
238,19973,2025-08-01,,RECHAZADO,No cuenta con un monto de siniestro
239,22979,2025-11-05,,CERRADO,No cuenta con un monto de siniestro
240,15810,2025-10-03,,RECHAZADO,No cuenta con un monto de siniestro
243,9965,2025-02-27,4275.37,,El estado del siniestro se encuentra vacio
244,3256,2025-07-09,,ABIERTO,No cuenta con un monto de siniestro
247,23410,2025-04-29,8598.25,,El estado del siniestro se encuentra vacio
249,18003,2025-02-08,14986.14,,El estado del siniestro se encuentra vacio
250,2158,2025-05-20,,ABIERTO,No cuenta con un monto de siniestro
251,21022,2025-07-18,,RECHAZADO,No cuenta con un monto de siniestro
255,24181,2025-02-09,3638.1,,El estado del siniestro se encuentra vacio
256,1939,2025-11-03,7149.72,,El estado del siniestro se encuentra vacio
260,17781,2025-11-03,14206.04,,El estado del siniestro se encuentra vacio
262,17232,2025-02-27,,ABIERTO,No cuenta con un monto de siniestro
264,13686,2025-10-09,,ABIERTO,No cuenta con un monto de siniestro
267,13995,2025-09-08,6273.55,,El estado del siniestro se encuentra vacio
269,20302,2025-11-29,12935.03,,El estado del siniestro se encuentra vacio
271,16423,2025-10-06,12531.38,,El estado del siniestro se encuentra vacio
274,22521,2025-12-09,6246.09,,El estado del siniestro se encuentra vacio
277,4835,2025-11-21,10216.4,,El estado del siniestro se encuentra vacio
278,12350,2026-02-02,2215.15,,El estado del siniestro se encuentra vacio
280,3145,2025-08-11,2935.1,,El estado del siniestro se encuentra vacio
283,17276,2025-04-06,8841.01,,El estado del siniestro se encuentra vacio
291,367,2025-12-04,9606.53,,El estado del siniestro se encuentra vacio
293,10362,2025-09-24,8077.52,,El estado del siniestro se encuentra vacio
296,2362,2026-01-11,,RECHAZADO,No cuenta con un monto de siniestro
298,6809,2025-10-20,1486.47,,El estado del siniestro se encuentra vacio
302,22748,2025-12-04,5352.07,,El estado del siniestro se encuentra vacio
303,1719,2025-11-14,,ABIERTO,No cuenta con un monto de siniestro
305,13740,2025-12-25,,ABIERTO,No cuenta con un monto de siniestro
306,11979,2025-05-24,3782.57,,El estado del siniestro se encuentra vacio
307,9896,2026-02-19,9098.49,,El estado del siniestro se encuentra vacio
308,15831,2025-07-06,4383.22,,El estado del siniestro se encuentra vacio
310,18660,2025-11-24,7735.22,,El estado del siniestro se encuentra vacio
313,12886,2025-03-26,,ABIERTO,No cuenta con un monto de siniestro
314,6169,2025-08-08,,CERRADO,No cuenta con un monto de siniestro
316,19243,2025-11-19,2098.28,,El estado del siniestro se encuentra vacio
317,7504,2025-12-06,6038.6,,El estado del siniestro se encuentra vacio
319,4709,2025-07-17,,CERRADO,No cuenta con un monto de siniestro
323,17082,2025-05-11,11204.61,,El estado del siniestro se encuentra vacio
325,25648,2025-11-14,-12908.94,,El estado del siniestro se encuentra vacio
326,6507,2025-06-11,6243.4,,El estado del siniestro se encuentra vacio
330,13177,2025-03-09,,,"El estado del siniestro se encuentra vacio, No cuenta con un monto de siniestro"
331,16704,2025-08-12,,,"El estado del siniestro se encuentra vacio, No cuenta con un monto de siniestro"
336,23055,2025-12-29,,,"El estado del siniestro se encuentra vacio, No cuenta con un monto de siniestro"
337,15288,2025-02-20,4485.08,,El estado del siniestro se encuentra vacio
338,13062,2025-08-16,,,"El estado del siniestro se encuentra vacio, No cuenta con un monto de siniestro"
341,21940,2025-03-23,11851.07,,El estado del siniestro se encuentra vacio
342,5070,2025-11-22,6723.23,,El estado del siniestro se encuentra vacio
347,18616,2025-07-13,,CERRADO,No cuenta con un monto de siniestro
348,3786,2026-02-09,3564.35,,El estado del siniestro se encuentra vacio
351,4779,2025-05-29,,CERRADO,No cuenta con un monto de siniestro
